Code,Chapter,Category,Subcategory,Level 2,Description
"S14.134D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, subsequent encounter"
"K08.539","Diseases of the digestive system","Diseases of oral cavity and salivary glands","Other disorders of teeth and supporting structures","-","Fractured dental restorative material, unspecified"
"T34.831S","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), sequela"
"S14.134A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, initial encounter"
"S20.412A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, initial encounter"
"S20.412D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, subsequent encounter"
"W16.612S","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing other injury, sequela"
"S14.134S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, sequela"
"S20.412S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, sequela"
"T34.831D","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), subsequent encounter"
"T34.831A","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), initial encounter"
"Z16.341","Factors influencing health status and contact with health services","Resistance to antimicrobial drugs","-","-","Resistance to single antimycobacterial drug"
"Z16.342","Factors influencing health status and contact with health services","Resistance to antimicrobial drugs","-","-","Resistance to multiple antimycobacterial drugs"
"S68.019A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of unspecified thumb, initial encounter"
"S14.133D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C3 level of cervical spinal cord, subsequent encounter"
"S68.019D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of unspecified thumb, subsequent encounter"
"S14.133A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C3 level of cervical spinal cord, initial encounter"
"D00.02","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of buccal mucosa"
"O31.02X3","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 3"
"D00.03","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of gingiva and edentulous alveolar ridge"
"O31.02X4","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 4"
"D00.04","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of soft palate"
"O31.02X1","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 1"
"W27.5XXS","External causes of morbidity","Exposure to inanimate mechanical forces","-","-","Contact with paper-cutter, sequela"
"D00.05","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of hard palate"
"O31.02X2","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 2"
"T34.832S","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of left toe(s), sequela"
"O31.02X0","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, not applicable or unspecified"
